label,class_name,metric,count,mean,std,min,max
0,Healthy,step_length,76,1.0616680336625952,0.08126191002124317,0.9206441044807434,1.203883409500122
0,Healthy,symmetry,76,-0.030271616586680084,0.17960078073270164,-0.5036043524742126,0.288608193397522
0,Healthy,loading_rate,76,0.08203948485223866,0.1267317855329433,0.0329999923706054,1.1130000352859497
1,PD,step_length,10,1.1582210838794709,0.1495699835908295,0.96820330619812,1.4091755151748655
1,PD,symmetry,10,-0.06477626296691594,0.12147037365361057,-0.2393901199102401,0.1447891592979431
1,PD,loading_rate,10,0.3893099963665009,0.19471756624690476,0.1466000080108642,0.7732999920845032
