Timestamp,X,Y,Z
2025-05-14T12:48:25.460Z,-2.86,1.35,9.34
2025-05-14T12:48:25.495Z,-2.37,1.38,9.35
2025-05-14T12:48:25.526Z,-2.81,1.54,9.34
2025-05-14T12:48:25.562Z,-5.7,2.67,9.53
2025-05-14T12:48:25.595Z,-10.1,4.36,11.96
2025-05-14T12:48:25.628Z,-8.86,5.65,15.02
2025-05-14T12:48:25.661Z,-0.94,-0.49,10.63
2025-05-14T12:48:25.692Z,-4.26,9.64,19.61
2025-05-14T12:48:25.729Z,1.26,8.28,13.47
2025-05-14T12:48:25.762Z,0.53,6.36,10.74
2025-05-14T12:48:25.794Z,-1.64,2.64,9.73
2025-05-14T12:48:25.827Z,-3.06,3.47,9.48
2025-05-14T12:48:25.859Z,-4.21,1.92,10.31
2025-05-14T12:48:25.894Z,-4.93,3.53,8.79
2025-05-14T12:48:25.925Z,-5.97,2.73,8.52
2025-05-14T12:48:25.962Z,-7.91,3.16,10.46
2025-05-14T12:48:25.995Z,-18.42,6.08,19.61
2025-05-14T12:48:26.028Z,-16.27,1.14,12.72
2025-05-14T12:48:26.062Z,-15.35,0.19,2.05
2025-05-14T12:48:26.096Z,-18.32,-0.08,-3.79
2025-05-14T12:48:26.126Z,-16.27,-0.51,-1.17
2025-05-14T12:48:26.162Z,-9.52,-0.31,4.61
2025-05-14T12:48:26.196Z,0.07,17.01,8.55
2025-05-14T12:48:26.228Z,-9.28,5.04,15.76
2025-05-14T12:48:26.259Z,-5.81,-2.89,16.69
2025-05-14T12:48:26.293Z,-4.82,1.76,12.28
2025-05-14T12:48:26.326Z,-3.22,2.51,10.61
2025-05-14T12:48:26.362Z,-2.74,2.77,9.86
2025-05-14T12:48:26.395Z,-2.62,2.56,9.18
2025-05-14T12:48:26.426Z,-2.76,2.03,9.47
2025-05-14T12:48:26.461Z,-2.65,1.77,9.39
2025-05-14T12:48:26.493Z,-2.39,2.26,8.91
2025-05-14T12:48:26.527Z,-2.29,2.15,8.66
2025-05-14T12:48:26.561Z,-2.51,1.81,9.15
2025-05-14T12:48:26.594Z,-2.38,1.15,9.36
