Timestamp,X,Y,Z,X_norm,Y_norm,Z_norm
2025-05-14T12:48:22.368Z,-2.49,1.2,9.15,0.43651198368179495,0.5305966343702193,0.658393207054213
2025-05-14T12:48:22.402Z,-2.52,1.1,9.1,0.4357470678225395,0.5280469148393677,0.6567602873938603
2025-05-14T12:48:22.435Z,-2.52,1.2,9.17,0.4357470678225395,0.5305966343702193,0.659046374918354
2025-05-14T12:48:22.468Z,-2.53,1.2,9.25,0.4354920958694543,0.5305966343702193,0.6616590463749183
2025-05-14T12:48:22.502Z,-2.52,1.08,9.12,0.4357470678225395,0.5275369709331973,0.6574134552580013
2025-05-14T12:48:22.535Z,-2.51,1.23,9.22,0.43600203977562474,0.5313615502294747,0.6606792945787068
2025-05-14T12:48:22.569Z,-2.44,1.18,9.1,0.4377868434472208,0.530086690464049,0.6567602873938603
2025-05-14T12:48:22.603Z,-2.46,1.14,9.24,0.4372768995410505,0.5290668026517084,0.6613324624428478
2025-05-14T12:48:22.634Z,-2.47,1.14,9.13,0.4370219275879654,0.5290668026517084,0.657740039190072
2025-05-14T12:48:22.667Z,-2.49,1.19,9.15,0.43651198368179495,0.5303416624171341,0.658393207054213
2025-05-14T12:48:22.701Z,-2.53,1.21,9.08,0.4354920958694543,0.5308516063233044,0.6561071195297192
2025-05-14T12:48:22.734Z,-2.53,1.18,9.18,0.4354920958694543,0.530086690464049,0.6593729588504246
2025-05-14T12:48:22.769Z,-2.52,1.16,9.16,0.4357470678225395,0.5295767465578787,0.6587197909862836
2025-05-14T12:48:22.803Z,-2.45,1.19,9.25,0.43753187149413564,0.5303416624171341,0.6616590463749183
2025-05-14T12:48:22.835Z,-2.48,1.21,9.22,0.43676695563488016,0.5308516063233044,0.6606792945787068
2025-05-14T12:48:22.867Z,-2.53,1.16,9.22,0.4354920958694543,0.5295767465578787,0.6606792945787068
2025-05-14T12:48:22.899Z,-2.48,1.1,9.16,0.43676695563488016,0.5280469148393677,0.6587197909862836
2025-05-14T12:48:22.938Z,-2.5,1.14,9.2,0.43625701172870984,0.5290668026517084,0.6600261267145657
2025-05-14T12:48:22.968Z,-2.5,1.21,9.17,0.43625701172870984,0.5308516063233044,0.659046374918354
2025-05-14T12:48:23.004Z,-2.48,1.15,9.22,0.43676695563488016,0.5293217746047935,0.6606792945787068
2025-05-14T12:48:23.034Z,-2.46,1.2,9.11,0.4372768995410505,0.5305966343702193,0.6570868713259307
2025-05-14T12:48:23.067Z,-2.45,1.19,9.16,0.43753187149413564,0.5303416624171341,0.6587197909862836
2025-05-14T12:48:23.101Z,-2.5,1.16,9.2,0.43625701172870984,0.5295767465578787,0.6600261267145657
2025-05-14T12:48:23.134Z,-2.51,1.15,9.16,0.43600203977562474,0.5293217746047935,0.6587197909862836
2025-05-14T12:48:23.168Z,-2.54,1.19,9.1,0.4352371239163692,0.5303416624171341,0.6567602873938603
2025-05-14T12:48:23.202Z,-2.56,1.15,9.04,0.4347271800101989,0.5293217746047935,0.6548007838014369
2025-05-14T12:48:23.234Z,-2.42,1.22,9.01,0.43829678735339106,0.5311065782763895,0.6538210320052253
2025-05-14T12:48:23.267Z,-2.48,1.19,9.12,0.43676695563488016,0.5303416624171341,0.6574134552580013
2025-05-14T12:48:23.301Z,-2.56,1.13,9.08,0.4347271800101989,0.5288118306986231,0.6561071195297192
2025-05-14T12:48:23.335Z,-2.54,1.21,9.07,0.4352371239163692,0.5308516063233044,0.6557805355976486
2025-05-14T12:48:23.367Z,-2.49,1.32,9.07,0.43651198368179495,0.5336562978072412,0.6557805355976486
2025-05-14T12:48:23.401Z,-2.45,1.3,9.12,0.43753187149413564,0.5331463539010709,0.6574134552580013
2025-05-14T12:48:23.436Z,-2.5,1.28,9.14,0.43625701172870984,0.5326364099949006,0.6580666231221424
2025-05-14T12:48:23.467Z,-2.54,1.24,9.1,0.4352371239163692,0.5316165221825598,0.6567602873938603
2025-05-14T12:48:23.503Z,-2.53,1.26,9.22,0.4354920958694543,0.5321264660887303,0.6606792945787068
2025-05-14T12:48:23.533Z,-2.6,1.24,9.16,0.4337072921978582,0.5316165221825598,0.6587197909862836
2025-05-14T12:48:23.566Z,-2.49,1.22,9.11,0.43651198368179495,0.5311065782763895,0.6570868713259307
2025-05-14T12:48:23.599Z,-2.59,1.25,9.12,0.4339622641509434,0.531871494135645,0.6574134552580013
2025-05-14T12:48:23.633Z,-2.58,1.23,9.14,0.4342172361040286,0.5313615502294747,0.6580666231221424
2025-05-14T12:48:23.666Z,-2.56,1.19,9.21,0.4347271800101989,0.5303416624171341,0.6603527106466363
2025-05-14T12:48:23.699Z,-2.65,1.24,9.12,0.43243243243243246,0.5316165221825598,0.6574134552580013
2025-05-14T12:48:23.734Z,-2.61,1.27,9.1,0.4334523202447731,0.5323814380418154,0.6567602873938603
2025-05-14T12:48:23.765Z,-2.55,1.29,9.12,0.434982151963284,0.5328913819479857,0.6574134552580013
2025-05-14T12:48:23.799Z,-2.55,1.33,9.14,0.434982151963284,0.5339112697603263,0.6580666231221424
2025-05-14T12:48:23.835Z,-2.54,1.41,9.13,0.4352371239163692,0.5359510453850077,0.657740039190072
2025-05-14T12:48:23.865Z,-2.54,1.36,9.17,0.4352371239163692,0.5346761856195819,0.659046374918354
2025-05-14T12:48:23.901Z,-2.52,1.46,9.1,0.4357470678225395,0.5372259051504334,0.6567602873938603
2025-05-14T12:48:23.934Z,-2.53,1.47,8.99,0.4354920958694543,0.5374808771035186,0.6531678641410843
